transaction_id,posted_date,merchant,amount,currency,category,account_id
c0640b41-0bdf-4ba3-b22c-ba1e8aff468a,2025-08-02,Whole Foods,-77.53,USD,Groceries,chase
a1765a3c-769c-47ed-829b-9c5d26100755,2025-08-03,Amazon,-47.34,USD,Shopping,chase
e2f7966e-d223-4868-9c30-0bd4a46f04c0,2025-08-04,Costco,-114.11,USD,Groceries,chase
542b9cc9-30dc-41e6-9d5c-47d7ab9ff746,2025-08-05,Apple Store,-183.13,USD,Shopping,chase
2ff9382e-642a-476a-b4a6-3c3a1ef6f918,2025-08-05,Gas Utility,-55.0,USD,Utilities,chase
18e55e74-35ee-42b3-8302-f1244816f5d8,2025-08-06,Chipotle,-14.65,USD,Dining,chase
324c5739-52ba-496f-8a39-430c549f69f2,2025-08-06,Dropbox,-9.99,USD,Subscriptions,chase
b8a22f77-2e6f-4f70-b238-987824c58cb5,2025-08-06,Netflix,-15.49,USD,Subscriptions,chase
60ec4440-b1b3-4c2c-9637-8ab9bd8ca2e1,2025-08-06,Spotify,-11.99,USD,Subscriptions,chase
d117e774-0dee-4de4-9d5b-810a1428f68d,2025-08-09,Local Restaurant,-39.96,USD,Dining,chase
dd65299d-6210-44f7-aa9f-3b5ab9e48a36,2025-08-11,Dropbox,-9.99,USD,Subscriptions,chase
f1419ffc-722b-4547-a012-42cd52fa4525,2025-08-11,Netflix,-15.49,USD,Subscriptions,chase
4c8412a3-9793-4663-8f75-7fc145fb4a91,2025-08-11,Spotify,-11.99,USD,Subscriptions,chase
529a5d48-b9c9-41d1-8653-f302ec4b6de4,2025-08-14,Target,-49.87,USD,Shopping,chase
6073f67e-7a9a-4aad-bdb5-43e5b6c80014,2025-08-16,Trader Joe's,-44.9,USD,Groceries,chase
e5988b8b-de16-4f85-854b-c7a9048ba3a0,2025-08-20,Dropbox,-9.99,USD,Subscriptions,chase
e2c4a5a9-8eca-4cd4-9cfd-fee51ebee7cb,2025-08-20,Netflix,-15.49,USD,Subscriptions,chase
52e2fb52-db23-408a-8f7e-16df743af380,2025-08-20,Spotify,-11.99,USD,Subscriptions,chase
16bef5f8-6fa8-4782-85d6-f1b41d4a426c,2025-08-22,Sweetgreen,-13.48,USD,Dining,chase
104dc198-47ea-4666-ad3d-140f51f4f946,2025-08-28,Apple Store,-198.95,USD,Shopping,chase
c93c2bc5-f1da-4448-8b6c-6f13dd19ce0e,2025-09-02,Best Buy,-179.91,USD,Shopping,chase
ecae08d4-50e8-4ac4-b70a-d0daca8623e4,2025-09-05,Electric Utility,-165.0,USD,Utilities,chase
21ca7cd2-9b6d-4f67-966d-3cba68be7d07,2025-09-06,Dropbox,-9.99,USD,Subscriptions,chase
ca06676d-bbf7-4666-b4a0-da7a5cdcab92,2025-09-06,Netflix,-15.49,USD,Subscriptions,chase
babc408e-45cd-4c31-a380-40b4ca276881,2025-09-06,Spotify,-11.99,USD,Subscriptions,chase
7d702bf9-a0fd-433d-8bf4-ad3add1d9591,2025-09-10,Blue Bottle,-7.33,USD,Coffee,chase
389eaa15-fe16-4a54-b66a-e65c048f9fe7,2025-09-11,Dropbox,-9.99,USD,Subscriptions,chase
0e6ce5b2-12d1-4bc5-8605-52895a168137,2025-09-11,Netflix,-15.49,USD,Subscriptions,chase
e5483d56-6a4b-4ed9-92a9-3856093483db,2025-09-11,Spotify,-11.99,USD,Subscriptions,chase
f0f5bdd0-f336-47ab-bcd7-2a49e55d73e3,2025-09-20,Dropbox,-9.99,USD,Subscriptions,chase
b72854af-4369-4e11-ba8c-88d1f0b6ec47,2025-09-20,Netflix,-15.49,USD,Subscriptions,chase
bf50a5d6-0350-4265-825f-f39e21443cd9,2025-09-20,Spotify,-11.99,USD,Subscriptions,chase
2b40991c-a671-4754-b164-5cb5f2a1ed3e,2025-09-20,Starbucks,-6.86,USD,Coffee,chase
902dfed6-a351-4820-a0f4-a10543dda905,2025-09-24,MTA,-3.57,USD,Transportation,chase
6fe29e48-5f42-44cb-821b-3d8d8567e6f1,2025-09-27,MTA,-3.22,USD,Transportation,chase
9c27925e-0b95-4c59-bb87-55298a28a0c6,2025-09-29,Trader Joe's,-35.59,USD,Groceries,chase
22723a31-1e03-4cf8-9951-43e1aa3ebb6a,2025-10-01,Target,-46.31,USD,Shopping,chase
8bd8257f-0ecc-4e2e-a223-70e411fabb2f,2025-10-02,MTA,-3.09,USD,Transportation,chase
a55cd02b-91a7-40b7-b53c-061bddbeef9c,2025-10-04,Amazon,-37.01,USD,Shopping,chase
b0f7c434-2f4d-437c-8bc6-b998399b6c1c,2025-10-05,Gas Utility,-55.0,USD,Utilities,chase
88166dbe-8ce9-4d76-b6ee-262fe25b56b2,2025-10-06,Dropbox,-9.99,USD,Subscriptions,chase
5f3a9b40-f39a-4b23-9e95-962cbf020afb,2025-10-06,Netflix,-15.49,USD,Subscriptions,chase
2fa04c0e-8616-4880-9e2d-ecb16b1559e4,2025-10-06,Spotify,-11.99,USD,Subscriptions,chase
e62ad602-4278-45de-88ba-fbaacac9f8c2,2025-10-09,Uber,-17.92,USD,Transportation,chase
dc13cfb5-7581-42bb-8ae4-797a90fa7bb2,2025-10-11,Dropbox,-9.99,USD,Subscriptions,chase
e62af9c8-0ec3-4fed-b834-c4d8ee98a32d,2025-10-11,Netflix,-15.49,USD,Subscriptions,chase
e501032f-421a-4daf-858b-185b8bfa6383,2025-10-11,Spotify,-11.99,USD,Subscriptions,chase
9d7dc82b-5204-47d3-8c7f-630e294b1ebb,2025-10-12,Amazon,-28.93,USD,Shopping,chase
